CO_MTRS,X,Y
10M14S21E27,-119.672999641162,36.6854969909196
10M14S21E28,-119.691201088881,36.685317721406996
10M14S21E29,-119.709152946257,36.6855827078277
10M14S21E31,-119.727331389349,36.670709114522
10M14S21E32,-119.709172389212,36.670769755512794
10M14S21E33,-119.69127285776199,36.67165918356
10M14S21E34,-119.67304592421002,36.6716725848228
10M14S21E35,-119.65507368158701,36.6707494752203
10M14S21E36,-119.637332497517,36.6707590119252
10M14S22E01,-119.52914559826701,36.7439060742829
10M14S22E02,-119.547173030065,36.7429370098374
10M14S22E03,-119.565024664471,36.7429523064916
10M14S22E05,-119.60127760105101,36.7430074737523
10M14S22E06,-119.61916948443701,36.743032249570795
10M14S22E07,-119.619230080774,36.7263505874389
10M14S22E08,-119.601335823596,36.7254523424522
10M14S22E09,-119.583202724897,36.7254542491655
10M14S22E10,-119.565110268158,36.7263374166454
10M14S22E11,-119.547445195732,36.7278347223665
10M14S22E12,-119.529465697013,36.7283878565932
10M14S22E13,-119.529472577797,36.714086619872496
10M14S22E14,-119.54744496444401,36.7141704766336
10M14S22E16,-119.583247723642,36.714105557998295
10M14S22E17,-119.60137042988801,36.7140196731187
10M14S22E18,-119.619271854059,36.713983330777204
10M14S22E19,-119.619323082497,36.699514224614205
