SubregionName,ElementID
North Kern WSD A,29819
North Kern WSD A,29820
North Kern WSD A,29821
North Kern WSD A,29822
North Kern WSD A,29823
North Kern WSD A,29824
North Kern WSD A,29916
North Kern WSD A,29917
North Kern WSD A,29918
North Kern WSD A,29919
North Kern WSD A,29920
North Kern WSD A,29921
North Kern WSD A,29922
North Kern WSD A,29923
North Kern WSD A,29924
North Kern WSD A,29925
North Kern WSD A,29926
North Kern WSD A,29927
North Kern WSD A,29928
North Kern WSD A,29929
North Kern WSD A,29930
North Kern WSD A,29931
North Kern WSD A,29932
North Kern WSD A,29933
North Kern WSD A,29934
North Kern WSD A,29935
North Kern WSD A,29936
North Kern WSD A,30022
North Kern WSD A,30023
North Kern WSD A,30024
North Kern WSD A,30025
North Kern WSD A,30026
North Kern WSD A,30027
North Kern WSD A,30028
North Kern WSD A,30029
North Kern WSD A,30030
North Kern WSD A,30031
North Kern WSD A,30032
North Kern WSD A,30033
North Kern WSD A,30034
North Kern WSD A,30035
North Kern WSD A,30036
North Kern WSD A,30037
North Kern WSD A,30038
North Kern WSD A,30039
North Kern WSD A,30040
North Kern WSD A,30041
North Kern WSD A,30042
North Kern WSD A,30128
North Kern WSD A,30129
North Kern WSD A,30130
North Kern WSD A,30131
North Kern WSD A,30132
North Kern WSD A,30133
North Kern WSD A,30134
North Kern WSD A,30135
North Kern WSD A,30136
North Kern WSD A,30137
